*the_geom:MultiLineString,Length:String
"MULTILINESTRING ((115.73599620755897 39.575537274952694, 115.73596617649787 39.57561724536698, 115.73591606537423 39.575997099214206, 115.7358459551268 39.57633697010249, 115.73573572792156 39.57710667376144, 115.73557543186077 39.578076302107114, 115.73536499769658 39.57954573587446, 115.73534495090881 39.57970567400511))",0.467
"MULTILINESTRING ((115.70081231263818 39.57043282913916, 115.70089235140095 39.57041282911618))",0.007
"MULTILINESTRING ((115.73288431316065 39.57800659835325, 115.73041329004137 39.577926877051155))",0.212
"MULTILINESTRING ((115.72691139384585 39.579776488421636, 115.72706225601839 39.5762578792252))",0.391
"MULTILINESTRING ((115.73956765012703 39.57583679775741, 115.74142837352065 39.57610650443907))",0.162
"MULTILINESTRING ((115.71628935906676 39.5685620306406, 115.71617930453135 39.56859202932607))",0.010
"MULTILINESTRING ((115.73120674929213 39.56440220302658, 115.73119674973032 39.5643822119968, 115.73116676903123 39.564242270291906, 115.73114676990758 39.56420228823235, 115.73113677394304 39.56416230527349, 115.73113678383561 39.56412232141537, 115.73110679324395 39.56402236446792, 115.73110680043851 39.56399237657427, 115.73107680624967 39.563912411555904))",0.056
"MULTILINESTRING ((115.70206290807674 39.57014282026229, 115.70214294683954 39.570122820239334))",0.007
"MULTILINESTRING ((115.68670159810029 39.5731603505971, 115.68669150770701 39.573660165012015))",0.056
"MULTILINESTRING ((115.70535470555525 39.56827323854647, 115.70514445845005 39.56903295613338))",0.086
"MULTILINESTRING ((115.70479420398944 39.569542787197264, 115.70410391496374 39.56950287168755, 115.70357369716838 39.56945294492485, 115.70348365884387 39.56945295391805, 115.70346364802901 39.56946295168124, 115.7034436291202 39.56951293420192, 115.70342349599763 39.57012269253559))",0.188
"MULTILINESTRING ((115.73381372472362 39.582204827917955, 115.73442386886653 39.582674579795466))",0.074
"MULTILINESTRING ((115.7293531979917 39.57637760237186, 115.72941322324175 39.57637759607662))",0.005
"MULTILINESTRING ((115.74185972794419 39.57125839868352, 115.74031907326673 39.57123856053855, 115.73823818684286 39.57121877635283, 115.73665751143507 39.57120893776963))",0.445
"MULTILINESTRING ((115.69354926908352 39.582297121742265, 115.69372898690322 39.58234685065411, 115.69387875370161 39.58237662900568, 115.69406846208994 39.58239635653409, 115.69433805006099 39.58241597164726, 115.69480733519036 39.58243530797055, 115.69509689260758 39.5824548952047, 115.69528660729111 39.58244463483947, 115.69541641273737 39.582434457211875))",0.162
"MULTILINESTRING ((115.7011309793113 39.57774987338537, 115.70169123536232 39.577649857082655, 115.70182129441731 39.577629852563085))",0.061
"MULTILINESTRING ((115.7290651469391 39.567331246367324, 115.72757449546668 39.567361382649054))",0.128
"MULTILINESTRING ((115.71725844602052 39.57468948495915, 115.7174285186113 39.574689467872076, 115.71891915839251 39.57465933159028, 115.71943938202196 39.57464928346508))",0.187
"MULTILINESTRING ((115.7323360945352 39.569340116880284, 115.7323360666562 39.56946006845479, 115.73232594118929 39.56997986220827, 115.73233581844327 39.570529641157385, 115.73235568266863 39.57114939185833, 115.73240548172772 39.57210900355505, 115.73243534551489 39.57274874438644, 115.73245513779445 39.57367837088753, 115.73244489901299 39.57468796870222, 115.73242483064143 39.57494786647829))",0.623
"MULTILINESTRING ((115.74980674728363 39.55677339350461, 115.74972673010461 39.55670342894741))",0.010
"MULTILINESTRING ((115.71338584388161 39.57917807863284, 115.71312567900692 39.579438000690594, 115.71293554164198 39.57970791151834, 115.71280538546023 39.58018773310486, 115.71278529190772 39.58058757528384, 115.71278516420396 39.581187335854324, 115.71275511785448 39.58134727488429, 115.7123849011423 39.58163719562752))",0.299
"MULTILINESTRING ((115.73835936239472 39.56650064961264, 115.73833941543171 39.56624075543387, 115.73832942036654 39.56620077247505, 115.73830942663879 39.56614079848641, 115.73826942569347 39.56607083033191, 115.73823941981345 39.56604084513622, 115.7381894049172 39.566010862638564, 115.73801935031281 39.56593091111))",0.075
"MULTILINESTRING ((115.72718267883762 39.57461852215447, 115.72718269052883 39.574568542331804, 115.7271927332581 39.57439860913593, 115.72719274045267 39.574368621242286))",0.028
"MULTILINESTRING ((115.68724031808631 39.57531873429958, 115.687210403937 39.57512885234207, 115.68721041652759 39.575068875655525, 115.68719049384629 39.57484899141526, 115.68720056355528 39.57444913754506))",0.097
"MULTILINESTRING ((115.70109299734406 39.56762392353262, 115.70106287005547 39.56819369890743, 115.7010528237289 39.56840361596148, 115.70105279944721 39.56852356843532, 115.70108276845507 39.56874347695726, 115.70110273430386 39.56895339131332, 115.70112265068984 39.56941320568224, 115.70114263902167 39.56951316352907, 115.70116263994396 39.569553145588564, 115.70118264266489 39.56958313168357, 115.70121265304158 39.56959312495016, 115.70129269000574 39.569583120891664, 115.7016628689463 39.56948312347472))",0.262
"MULTILINESTRING ((115.72139248287681 39.564383190459225, 115.71980176653837 39.56449330524919, 115.71909144601352 39.56454335701766, 115.71787090232034 39.56460345421339))",0.303
"MULTILINESTRING ((115.71131586173772 39.57496996641822, 115.71130587476637 39.574889999601226, 115.7113059125379 39.57471007134013))",0.029
"MULTILINESTRING ((115.73064409025267 39.57487807279222, 115.73064409924585 39.57483808893409))",0.004
"MULTILINESTRING ((115.70416361465914 39.57110222691362, 115.70222276616776 39.571182388883514))",0.167
"MULTILINESTRING ((115.7365285882238 39.566420864458685, 115.73648870508974 39.565851096278436))",0.063
"MULTILINESTRING ((115.71122717689275 39.568562536059595, 115.71121715394862 39.5686525015391))",0.010
"MULTILINESTRING ((115.68677204019751 39.57058128292724, 115.68542410393933 39.570563175077865))",0.116
"MULTILINESTRING ((115.71533109455447 39.5585761169216, 115.71578131045919 39.55849610423914, 115.7165617088558 39.55824612598528, 115.71774232085146 39.557826175864655, 115.71838264354426 39.55764618375168, 115.71875282248483 39.55757617422837, 115.71991339039073 39.55732615820296, 115.72041364007748 39.55719616030183, 115.72057372569691 39.55712617236225, 115.7206437702938 39.55706618938042))",0.487
"MULTILINESTRING ((115.69980984105143 39.58220843150138, 115.69990970896595 39.58216831634216, 115.69995964831912 39.58215825832444, 115.70017969173945 39.58217819899214))",0.033
"MULTILINESTRING ((115.7206437702938 39.55706618938042, 115.72071381219267 39.55701620236318, 115.7207638495721 39.556946225215434, 115.72077388061018 39.5568262727416, 115.7207839161449 39.55668632743938, 115.72084398905895 39.55647640498939, 115.72097411556307 39.55616651569943, 115.72099413087449 39.55613652600715, 115.72102415024438 39.556106535415566, 115.72113423265876 39.55595658425626, 115.72117425698639 39.555926591866005))",0.138
"MULTILINESTRING ((115.72767520154935 39.56445253538355, 115.72810542282707 39.564302552747954))",0.040
"MULTILINESTRING ((115.68774676050464 39.588462773865416, 115.68748717749132 39.588343184717665, 115.6864488454379 39.58787482409136))",0.129
"MULTILINESTRING ((115.69805255767949 39.58178103769221, 115.69831216497448 39.58178067526539, 115.69923076668658 39.58185936684379))",0.102
"MULTILINESTRING ((115.7118761546609 39.574710014682864, 115.71187611059406 39.574919930837545))",0.023
"MULTILINESTRING ((115.6986838143066 39.570794548157245, 115.69926295162395 39.570723771512206, 115.69958248074693 39.57068334698628))",0.078
"MULTILINESTRING ((115.730155832126 39.56640150835029, 115.73025587810638 39.566391502493225))",0.009
"MULTILINESTRING ((115.71771004778054 39.56821202888939, 115.71760999730361 39.56824202667554, 115.71628935906676 39.5685620306406))",0.128
"MULTILINESTRING ((115.71126598263902 39.57430023949189, 115.7118762418951 39.57430017833797))",0.052
"MULTILINESTRING ((115.70834481106418 39.57396066717848, 115.70822470390704 39.57423057081161, 115.70812462375248 39.57441050896523, 115.70798449139124 39.57476038301269, 115.70788437976034 39.57509026153379, 115.70779427578522 39.575410143191, 115.70772418172565 39.575720026185664, 115.70770405220026 39.57629979662575, 115.70769399238397 39.576569689467036, 115.70762391900873 39.57677961281628, 115.70750383523387 39.576939560839506, 115.70740378655556 39.57696955862566, 115.70720369819219 39.576989570339855, 115.70689356698462 39.5769896018161, 115.70680352056604 39.57702959466748, 115.70676349084249 39.57708957495135, 115.70676340900422 39.57748941443238, 115.70679339060257 39.57763935210183, 115.70684337402258 39.57781927496702))",0.494
"MULTILINESTRING ((115.71126598263902 39.57430023949189, 115.7112659925316 39.57425025966915, 115.71126601591402 39.57414030315987, 115.7112660222092 39.574110315266246))",0.021
"MULTILINESTRING ((115.68749060480764 39.57216964304199, 115.68753056078685 39.572089618668365))",0.010
"MULTILINESTRING ((115.72757449546668 39.567361382649054, 115.72754453994865 39.56711148623346, 115.72755461415419 39.56680160863471))",0.062
"MULTILINESTRING ((115.7436341218173 39.55633418530168, 115.74369408231608 39.556604070948424, 115.74373404908717 39.55681398350584, 115.74374402886393 39.556913942251924, 115.74374400008558 39.557033894725755, 115.74372394970057 39.55720382882095, 115.7436638354177 39.557563690739016, 115.74361377465607 39.55772363246696, 115.74357373683857 39.5578036037806, 115.74352369766063 39.557873580928295, 115.74340361118777 39.55801353702243, 115.74329352337746 39.55817348414627, 115.74326349051773 39.55825345545992, 115.74323343157766 39.558443382383494, 115.743243287248 39.559053138019195, 115.7432431514503 39.55961291383224, 115.74325305838205 39.56001275331325))",0.418
"MULTILINESTRING ((115.68912743748126 39.5753460835823, 115.6890775457922 39.57519621336195, 115.6890675813039 39.57509626720639, 115.68905763030544 39.57493634526355, 115.68902779619589 39.57436661485479, 115.68901788296898 39.57402676465085, 115.68898799130284 39.573726926184115))",0.181
"MULTILINESTRING ((115.72656461346618 39.56491246216773, 115.72672469458905 39.564862466157244, 115.72683475631904 39.56480247957813, 115.72695482210734 39.56474249120037, 115.72713491854176 39.5646625054976, 115.72728499920343 39.56459251845728, 115.72740506049524 39.564552522008626, 115.72748510285533 39.5645225260211))",0.090
"MULTILINESTRING ((115.71154510162523 39.57902832172713, 115.71150517172634 39.578618489878835, 115.71150522658503 39.578358593901406, 115.7114952387144 39.57827862708441, 115.71148530480309 39.57794875935522, 115.71147531693235 39.57786879253816, 115.71147541855579 39.5773889844415, 115.71145544371382 39.577229049908134, 115.7114455098025 39.57689918307825, 115.7114355219319 39.576819216261256, 115.71142555204767 39.576659280828565, 115.7114255691348 39.57657931311224, 115.71141564871323 39.57617947363122, 115.71137571611644 39.57577963774749, 115.71136573094384 39.575689674066616, 115.71135576285828 39.57551974356875, 115.71134580916178 39.57527984041974, 115.71131586173772 39.57496996641822))",0.452
"MULTILINESTRING ((115.74513671178987 39.58930086107338, 115.74503663703125 39.589440815368825, 115.74501661902183 39.58948080102565, 115.74493656407127 39.589570773699776, 115.74484650236424 39.58967074233837, 115.74476644741365 39.589760714113176))",0.060
"MULTILINESTRING ((115.6946178291496 39.5814259763552, 115.69454797161167 39.58124614612022))",0.021
"MULTILINESTRING ((115.72714228938526 39.57625787113126, 115.72721256240992 39.57518829123405))",0.119
"MULTILINESTRING ((115.73488417156726 39.582204720898616, 115.73473406842255 39.58237466848361, 115.73442386886653 39.582674579795466))",0.065
"MULTILINESTRING ((115.73049366964723 39.57642746888002, 115.73064409025267 39.57487807279222))",0.173
"MULTILINESTRING ((115.73390081237267 39.59481977833765, 115.73425096790788 39.594759767476845, 115.73496129832529 39.5945797681693, 115.73512137225362 39.594539768123354, 115.73522142003253 39.59450977033715, 115.73526144346091 39.59447977794691, 115.73532148579794 39.594399803935346, 115.73542157854308 39.59417988192354, 115.7355416812037 39.59394996214855, 115.73560172713803 39.593859992172455, 115.73562174155018 39.59383000158085, 115.7356517537255 39.59382999888288, 115.73569177085858 39.59382999528561, 115.73571177357951 39.593849985416, 115.73570175333327 39.59391995806717, 115.73570172995096 39.594019917712565, 115.73570171106519 39.5940998863282, 115.73573169446217 39.594219835204754, 115.73579166935008 39.5944297450642, 115.73594166187819 39.594719614546094, 115.7361716491024 39.59516941136679, 115.73632166231495 39.59536931716777, 115.73637165922479 39.59546927231658, 115.73644164716438 39.59563919741858, 115.73647164045393 39.59571916243694, 115.73652164186035 39.59579912475734, 115.73656164640295 39.59584910098279, 115.73663166042286 39.595909070474775, 115.7367616933975 39.595989025600616, 115.73683170741744 39.59604899419328, 115.7369717336586 39.59617892824249, 115.73709173919245 39.59635884481238, 115.7372517402756 39.59662872056653, 115.73741174945269 39.59685861246257, 115.7375617698599 39.59702853036995, 115.73766179335712 39.59709849222919, 115.73777182630873 39.59714846126004, 115.73787185430274 39.59719843119021, 115.73793187145874 39.59722841278854, 115.73797187600131 39.597278389014, 115.73811189594733 39.5974283149923, 115.73829192852975 39.597598229302406, 115.738461963349 39.59773815661819, 115.73860200038212 39.597818110844706, 115.73869202251888 39.59787807763873, 115.7387520324804 39.597938048030045, 115.7388020374841 39.59799801842135, 115.73886203575442 39.59810796863538, 115.73890202590782 39.59821792064808, 115.7388920020643 39.59829789016308, 115.73888194584516 39.598517803181636, 115.73888193415405 39.59856778300432, 115.73889192562193 39.598617761927734, 115.73896193064866 39.59871771527789, 115.73902193521417 39.598797676698986, 115.73907195011043 39.59881766413148, 115.73915197988005 39.59882765200209, 115.73927202858135 39.59882764031094, 115.73952213363965 39.598807623200834, 115.73975222788306 39.598797603853924, 115.74007235145791 39.598817564306714, 115.74017238934437 39.59882755037873, 115.7402224087373 39.59882754498275, 115.74024241955202 39.598817547219575, 115.74027243442538 39.598807548557076, 115.74029244703888 39.598787553930016, 115.7403124623503 39.59875756423774, 115.74032247360331 39.598727575444826, 115.74032248079789 39.59869758755119, 115.74029248481044 39.598627618497375, 115.74025248386512 39.598567646307366, 115.74026249242013 39.59854765347896, 115.74029250459547 39.598547649881695, 115.74034252488762 39.59854764538509, 115.74045256413456 39.598567626522296, 115.74055260112175 39.59857761259432, 115.7407126678554 39.59856760044195, 115.74078269356653 39.59857758921195, 115.74092274319014 39.59860756361573, 115.74102278287523 39.59860755282384))",1.058
"MULTILINESTRING ((115.71260672072367 39.57351042069677, 115.7127667883567 39.57351040540828))",0.014
"MULTILINESTRING ((115.68770072780637 39.570080183381116, 115.68759093587302 39.5698904129396, 115.68752107653653 39.56973057463373, 115.68747119743784 39.56952072862608, 115.6874016429715 39.56792146513091, 115.68700251575353 39.56669251457528, 115.68689281555102 39.566072914960394, 115.68686286542892 39.566052965299484, 115.68682292923484 39.56604302509289, 115.68628375509128 39.566043778724755))",0.507
"MULTILINESTRING ((115.74384648772525 39.58805148961205, 115.74402652480434 39.58820141109376, 115.74484664175917 39.589100970560864, 115.74513671178987 39.58930086107338))",0.178
"MULTILINESTRING ((115.70615297348105 39.57834913213419, 115.70521261087333 39.57818929023099, 115.7050825599123 39.57816931089242, 115.70474242642196 39.57811936524396))",0.124
"MULTILINESTRING ((115.71185637766973 39.57362045184976, 115.71152623654666 39.57362048512469))",0.028
"MULTILINESTRING ((115.73298469368876 39.57655716820615, 115.73288431316065 39.57800659835325))",0.161
"MULTILINESTRING ((115.70060181552141 39.572462039618856, 115.70055142560786 39.57430130968509, 115.70054140536159 39.57438127830079, 115.70051138689111 39.57441126979165, 115.70047136526136 39.57443126531802, 115.70036131432323 39.57445126893833, 115.7000811916937 39.574471288746395, 115.69935205915021 39.57451213505442, 115.69894267336576 39.57452269849114, 115.69880288094828 39.5745428846738, 115.69878290700557 39.57456290448186, 115.69875293799771 39.57463291850177, 115.69872295909737 39.57475291234442))",0.390
"MULTILINESTRING ((115.71617930453135 39.56859202932607, 115.71602923376224 39.568622032508145, 115.71564905256184 39.56870203889533))",0.047
"MULTILINESTRING ((115.72691137855735 39.57984646017346, 115.7228597133052 39.57968692853635, 115.72272965604884 39.579696937990754, 115.72246954963009 39.579686967207216, 115.72233949687029 39.57967698473252, 115.72175926238015 39.57963705843096, 115.72162920962033 39.579627075056884, 115.7196484105458 39.579477333439655))",0.624
"MULTILINESTRING ((115.70311293041742 39.572251872553274, 115.70368316624524 39.572291799754154, 115.70371317931983 39.572291796156875))",0.052
"MULTILINESTRING ((115.73374747256787 39.566041293897975, 115.73373747930134 39.56599131497457, 115.73368757951823 39.56547152751636, 115.73367760513749 39.565341580876634, 115.73365764108735 39.565151658449615, 115.73365777868355 39.56456189384368, 115.73363781463354 39.564371972316046, 115.73362785644055 39.564172053025175, 115.73360790857815 39.563912158846385, 115.73359796297562 39.563662259732844, 115.7335279885259 39.5634223619798))",0.292
"MULTILINESTRING ((115.68753056078685 39.572089618668365, 115.68764043815577 39.571879548729584))",0.025
"MULTILINESTRING ((115.71748755550631 39.57923764522858, 115.71694734354513 39.57916772653678, 115.71682729934047 39.57913775033436, 115.71650718385955 39.57904781902906, 115.71631711754105 39.57898786122823, 115.71597699394317 39.57889793172162, 115.71539676664747 39.57881802156189, 115.71534674815393 39.57880803009394, 115.71461643390138 39.57883809173197, 115.71429628424619 39.57890809496005, 115.71408618912642 39.57893810443742, 115.71396613233117 39.57896810402221, 115.7138360732762 39.57898810944115, 115.71372602323744 39.579008112162086, 115.71359596598109 39.579018121616485, 115.71352593487404 39.57902812477559))",0.349
"MULTILINESTRING ((115.73034078669798 39.58867259019538, 115.73034079569116 39.58863260633719, 115.73035081773617 39.58855263772156))",0.013
"MULTILINESTRING ((115.74130027228978 39.56800975247548, 115.74123030233659 39.56775985965716, 115.7411903040893 39.56767989553811, 115.7411202954653 39.5675899381525, 115.7409902579941 39.56750998302666, 115.74065015957729 39.56731009701071, 115.74060014737891 39.5672701185485, 115.74059015501165 39.567220139625086, 115.74059017929335 39.567120179080355, 115.74059019368256 39.567060203293146, 115.74060029396844 39.566660362013465, 115.74060036861215 39.566350485314004, 115.74060039019592 39.566260521633126, 115.74061041673737 39.56617055615362, 115.74072060347318 39.56559077761966, 115.74084071332832 39.5653508609808, 115.74099084165402 39.56509094971489))",0.354
"MULTILINESTRING ((115.74281748254087 39.582203928595895, 115.74301786498255 39.58097440067551, 115.74312804722172 39.58041461317132, 115.74320812195731 39.580244672780886, 115.74322831713323 39.5794749781152, 115.74320834498918 39.5793250404457, 115.74285824880917 39.579115159364534, 115.74237812954708 39.57877534333485, 115.74190799186044 39.57852549008672, 115.74155789028453 39.57833560093464))",0.503
"MULTILINESTRING ((115.70284169039178 39.57779968233691, 115.70182129441731 39.577629852563085))",0.090
"MULTILINESTRING ((115.73687930583537 39.56403178396703, 115.73746956776642 39.564011732682665, 115.73859006457987 39.56397163730855, 115.73921034228351 39.56394158736173, 115.73936040495879 39.56395156803779, 115.73946044914042 39.563951558145206, 115.73957050187721 39.563931555424276, 115.73972057444496 39.5639015522422, 115.73978060059426 39.56390154594691, 115.73983061998716 39.56391153741485, 115.73985062630538 39.56392153158077, 115.73991065245468 39.56392152528553, 115.74008073134075 39.563901516269304, 115.74020078813591 39.563881512649054, 115.74049091482391 39.56388148297139))",0.312
"MULTILINESTRING ((115.7434640825014 39.55618426202137, 115.74368423384033 39.555964328318396))",0.031
"MULTILINESTRING ((115.74910701537647 39.55445438998537, 115.7487568643379 39.55443443223054))",0.030
"MULTILINESTRING ((115.70342349599763 39.57012269253559, 115.70358356542931 39.57012267634784, 115.70371362268567 39.57011266779275, 115.70376364837375 39.570092670467744, 115.70382368891217 39.570022692420686, 115.70388372045737 39.569992698231786, 115.7041538408272 39.569972679323065, 115.70480411361905 39.570002602465514))",0.124
"MULTILINESTRING ((115.75048798283422 39.55304481509339, 115.74929767974412 39.55212530146875))",0.144
"MULTILINESTRING ((115.72810542282707 39.564302552747954, 115.72867571171481 39.564122566930266, 115.7288858149285 39.56407256642313))",0.072
"MULTILINESTRING ((115.68724096469886 39.572269951624364, 115.687171071188 39.57227004965043))",0.006
"MULTILINESTRING ((115.71352593487404 39.57902812477559, 115.7134759136825 39.57902812927219, 115.71334585642614 39.57903813872659, 115.71250550382602 39.57903822236349, 115.71237545106624 39.57902823898948, 115.71154510162523 39.57902832172713))",0.170
"MULTILINESTRING ((115.71185637766973 39.57362045184976, 115.71184640059096 39.573490505210025))",0.014
"MULTILINESTRING ((115.75478921624938 39.55574330733509, 115.7544591353809 39.55548344373323, 115.75410903830152 39.555253570722975, 115.75382898042312 39.55499370262457, 115.75358895676503 39.55466385827775, 115.75341896960981 39.55431401480722, 115.75321906021156 39.553604318411864, 115.75313908799853 39.55335442649287, 115.75307908882894 39.553244476278834, 115.75297907252626 39.553134530561394, 115.75290905850636 39.55306456510485, 115.75277902283368 39.55297461401453, 115.75261896419384 39.552924650379595, 115.75242888978153 39.55288468540718, 115.75232884200251 39.55289469126426, 115.75222879512285 39.552904697121384, 115.75207871805843 39.55294469626799, 115.75193864325388 39.55299469047984, 115.75180856441375 39.5530746707867, 115.75172851395983 39.55313465556718, 115.7516184423373 39.55322463003993, 115.75148835630262 39.553334599139745, 115.75129822883024 39.55350455032202, 115.75126821035963 39.55352454494907, 115.75122818243473 39.55356453330385, 115.75104806171873 39.55372448762231, 115.75096800856682 39.55379446746796, 115.7508779486585 39.55387444417754, 115.7506478112475 39.554014411962825, 115.75045769906366 39.554124386458554, 115.7502375756037 39.554224368587015, 115.74997744040661 39.554304362383725, 115.74966727952142 39.55439435754083, 115.74933711771382 39.554454366603, 115.74910701537647 39.55445438998537))",0.741
"MULTILINESTRING ((115.68664146403239 39.57422001097217, 115.68664145413983 39.574269990794846, 115.68665143031932 39.57430996116317, 115.68668138224007 39.57431991485958, 115.6869509738085 39.57430954207911))",0.036
"MULTILINESTRING ((115.73832479335455 39.585623011620164, 115.73846482768964 39.58572295777578))",0.016
"MULTILINESTRING ((115.69359086722477 39.5742402834897, 115.6941001200246 39.57409962772305, 115.69446957860828 39.57399915096743))",0.080
"MULTILINESTRING ((115.74245608188279 39.58736190385625, 115.7426764544549 39.58620234498972))",0.130
"MULTILINESTRING ((115.72548567882109 39.55810529035417, 115.72483538444544 39.558135343898314, 115.72416508644959 39.55814540641269, 115.72381493451167 39.55813544552172, 115.72346478886902 39.558095496737124, 115.72310464546308 39.55802556005888, 115.72221430134904 39.55780573697247, 115.72166408263139 39.55769583622118, 115.72122390316063 39.55762590763682, 115.72059362679454 39.55761597462481, 115.72023346090556 39.55764599849137, 115.71956314492333 39.557736029621374, 115.71606142139751 39.55855605214739, 115.71449066191462 39.55886608532889, 115.71432057403534 39.55892607820324, 115.7140204271011 39.55899607963268, 115.71357021389429 39.55906609724993, 115.71282984881852 39.55924609925537, 115.71218953511902 39.559396103474704, 115.71194941523335 39.559466099508214))",1.196
"MULTILINESTRING ((115.71260669464334 39.57363037317059, 115.71279677625023 39.57363035428483))",0.016
"MULTILINESTRING ((115.7393610794503 39.561132694345666, 115.73921098979541 39.561232669279576))",0.017
"MULTILINESTRING ((115.73687973121469 39.56223250315484, 115.73668962982266 39.56231248975694))",0.019
"MULTILINESTRING ((115.73629904346615 39.56407182628112, 115.73615915482117 39.56334213166137))",0.082
"MULTILINESTRING ((115.70494415335007 39.57010254862112, 115.70516424623304 39.57011252210262))",0.019
"MULTILINESTRING ((115.73678944377785 39.56328209292159, 115.73705957314087 39.5632320852199, 115.7374897728348 39.56318206222976, 115.7380300252655 39.56311203651864, 115.7384001970115 39.56307201578822, 115.7386603169201 39.56304200181426, 115.73891043097171 39.56302198470416, 115.7390304859682 39.56301197704845, 115.7390705031013 39.56301197255185, 115.7392205621793 39.56304194605632, 115.73929058968905 39.56305193482624, 115.7395106888673 39.56304191637865, 115.73989086377242 39.56300189474898, 115.74031105670996 39.56296186862271))",0.306
"MULTILINESTRING ((115.73921098979541 39.561232669279576, 115.73898085148517 39.56139262899396, 115.73882075687254 39.56149260482718, 115.738500578439 39.56165257263544, 115.7382304319889 39.561772552088925, 115.7379302742628 39.56188253827586, 115.73747003451456 39.562042519573964, 115.73687973121469 39.56223250315484))",0.230
"MULTILINESTRING ((115.7245129100428 39.56853122166594, 115.72487251745281 39.57097021093389))",0.273
"MULTILINESTRING ((115.73380722442393 39.56721082085006, 115.73375712139408 39.567560685904326, 115.73381699555796 39.568210420002245, 115.7338469384855 39.568510297139895))",0.145
"MULTILINESTRING ((115.74651609554144 39.55350502786205, 115.74641602887664 39.5535950023348))",0.013
"MULTILINESTRING ((115.69441968332184 39.57385927671169, 115.69439970578185 39.573899288448835, 115.6943897161126 39.573919294767045, 115.69439969499003 39.57394926917083, 115.69441966083878 39.57396923322095, 115.69446957860828 39.57399915096743))",0.019
"MULTILINESTRING ((115.69804248617184 39.582210879455985, 115.6980523859089 39.582630698275565))",0.047
"MULTILINESTRING ((115.69710570016798 39.57333573278525, 115.6972255240388 39.573305577617695, 115.69735533218297 39.57327540896033, 115.69748514392428 39.573235244338484, 115.69860349945202 39.57296379297207))",0.135
"MULTILINESTRING ((115.74384929181144 39.5765460867599, 115.74432948571723 39.576586022954025, 115.74473964671733 39.576635962307265))",0.077
"MULTILINESTRING ((115.68744065825979 39.57227966879906, 115.68749060480764 39.57216964304199))",0.013
"MULTILINESTRING ((115.72117425698639 39.555926591866005, 115.72133434980049 39.55582661603278, 115.72154446110801 39.55574662673274, 115.72192470705964 39.555396728403586))",0.088
"MULTILINESTRING ((115.7112660222092 39.574110315266246, 115.71125604153313 39.57400036055561))",0.012
"MULTILINESTRING ((115.68695100978131 39.5741396097826, 115.68667143753692 39.57413000502311, 115.68665146629223 39.57414002886667, 115.68664147752224 39.57416003518489, 115.68664146403239 39.57422001097217))",0.035
"MULTILINESTRING ((115.6885155378618 39.58875158304662, 115.68797640328842 39.58851243263017, 115.68774676050464 39.588462773865416))",0.074
"MULTILINESTRING ((115.7196484105458 39.579477333439655, 115.71881807729245 39.57940744442547, 115.71861799792237 39.57938747228148, 115.7184279244093 39.5793575032736, 115.71829787434751 39.57933752393504, 115.71748755550631 39.57923764522858))",0.187
"MULTILINESTRING ((115.69437038428589 39.570810564183574, 115.69431047594776 39.570810647820544, 115.69318215503243 39.57102214048681, 115.6926029997287 39.571212875001585, 115.69238332143323 39.57128315342219, 115.69173424384029 39.57161392946668, 115.6907556996159 39.57179522559657, 115.68991698198317 39.57178640234796, 115.68927794532102 39.57184727206133, 115.68828941322592 39.572038577645614, 115.6879499020664 39.5721789968906, 115.6878101069509 39.57221917590162, 115.68767032262735 39.572209375089955, 115.68749060480764 39.57216964304199))",0.621
"MULTILINESTRING ((115.7161987217936 39.57133093350317, 115.7164988498421 39.571330902926235, 115.71654887373164 39.57132090246505, 115.71666892513088 39.57132088987456))",0.040
"MULTILINESTRING ((115.73801935031281 39.56593091111, 115.73799932780685 39.565990889595234, 115.73797930889803 39.56603087525208, 115.73793928457043 39.566060867642314, 115.73790927149571 39.56606087034027, 115.73787925842112 39.56606087303823, 115.73648870508974 39.565851096278436))",0.143
"MULTILINESTRING ((115.7113059125379 39.57471007134013, 115.71129592376792 39.57464010048767, 115.71129595254627 39.574500156984065))",0.023
"MULTILINESTRING ((115.6868117515611 39.571650799871904, 115.68566351156187 39.571622417268124))",0.099
"MULTILINESTRING ((115.70474242642196 39.57811936524396, 115.7047724799661 39.57791944145648, 115.7048125771388 39.577529593443415, 115.70484264327344 39.57726969476802, 115.70485269409664 39.57703978578492, 115.70487276426674 39.576739903251344, 115.70489281734966 39.57651998933348, 115.70491284884893 39.57641003102555, 115.70495288396853 39.576320062848026, 115.7050029195492 39.576250085700295, 115.70504295287003 39.576170113487365, 115.70507298842777 39.576060155179455, 115.70508302935843 39.57588022601904, 115.70508305184148 39.575770269509746, 115.70514329652599 39.57470069141118, 115.70522342522099 39.57424086714968, 115.70534359263274 39.57367108278162, 115.70527372520236 39.572881405180105, 115.70521382226013 39.57228165090486))",0.653
"MULTILINESTRING ((115.83619282793678 39.55479185608657, 115.83644340693775 39.554782223448164, 115.83687438454524 39.55482283503311, 115.83808710773395 39.55503452105358))",0.165
"MULTILINESTRING ((115.82459528594369 39.557773882086295, 115.82404394487219 39.55802298619917))",0.055
"MULTILINESTRING ((115.83446881048724 39.554979281995536, 115.83320598696672 39.55471754240796))",0.112
"MULTILINESTRING ((115.81152145645014 39.570419935558995, 115.81148151486012 39.56992007078205, 115.81148152385333 39.56989008198907))",0.059
